"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","","l","679","3814201","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"3814365","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","h","678","3814366","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"3814535","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","677","3814537","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"3814705","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","676","3814707","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"3814879","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","675","3814880","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"3815296","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","m","674","3815297","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","V","","674","3816170","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","V",,"675","3816172","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","675","3816199","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"3816612","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","V ","674","3816613","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","F","","674","3817292","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","F",,"675","3817292","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","675","3817314","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","675","3817485","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","675","3817486","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"676","3817485","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","676","3817598","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"677","3817599","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","677","3817703","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"678","3817703","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","678","3817929","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"679","3817930","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","679","3817978","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"680","3817978","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","680","3818247","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"681","3818248","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","V","","681","3818643","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","V",,"682","3818643","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","682","3818659","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","682","3818866","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","682","3818867","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"683","3818866","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","683","3818976","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"684","3818977","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","684","3819103","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"685","3819104","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","685","3819220","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"686","3819220","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","686","3819352","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"687","3819353","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","687","3820377","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"688","3820378","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","688","3820394","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","688","3820555","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","688","3820556","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"689","3820555","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",":","","689","3820980","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",":",,"690","3820980","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","690","3825476","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"691","3825477","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","692","3828876","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"693","3828877","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","+","","693","3829281","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","+",,"694","3829281","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","694","3829700","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"695","3829701","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","695","3830375","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"696","3830376","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","696","3830394","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","696","3831101","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","696","3831102","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"697","3831107","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","697","3831180","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"698","3831187","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","711","3834334","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"712","3834335","task1.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"3837497","task1.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","0",,"3846375","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","699","3989626","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"700","3989627","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","700","3989638","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","700","3989685","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","700","3989686","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"701","3989685","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","701","3989697","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","701","3990313","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","701","3990314","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"702","3990329","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","702","3990889","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"703","3990889","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","714","3995734","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"715","3995734","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","*","","715","3997321","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","*",,"716","3997321","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","716","3997720","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"717","3997720","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","717","3998323","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"718","3998323","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","718","3998508","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"719","3998508","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","719","3998673","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"720","3998674","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Right",,,"4000303","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","721","4001299","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"722","4001300","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","/","","722","4002195","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","/",,"723","4002196","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","723","4002537","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"724","4002537","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","724","4003273","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"725","4003274","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","725","4003406","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"726","4003406","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","726","4003562","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"727","4003563","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","728","4017027","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"728","4017028","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","703","4024778","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"704","4024779","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4031752","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","(","703","4031755","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","$","","691","4058274","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","$",,"692","4058275","task1.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"4068274","task1.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","0",,"4076981","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"4143249","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
               ","","651","4143252","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","               ","652","4143260","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","c","","423","4158179","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","c",,"424","4158179","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","425","4158242","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","424","4158415","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","424","4158416","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"425","4158416","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","425","4158521","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"426","4158523","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","426","4158727","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"427","4158728","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","calu","423","4159122","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4159541","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","cal","","423","4159542","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4159726","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","l","425","4159728","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","425","4160734","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"426","4160735","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","427","4160811","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","426","4160888","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","c","","426","4160889","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","c",,"427","4160888","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4163243","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","c","423","4163245","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","C","","423","4163969","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","C",,"424","4163970","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","424","4164022","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","424","4168020","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","","498","4168020","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","f","","656","4168020","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","f",,"657","4168021","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","657","4168035","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","657","4168188","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","657","4168189","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"658","4168217","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","658","4168375","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"659","4168387","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","659","4168524","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"660","4168528","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","660","4168694","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"661","4168699","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","661","4168807","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"662","4168811","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","V","","662","4169566","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","V",,"663","4169571","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","663","4169812","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"664","4169820","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","664","4169904","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"665","4169910","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","665","4170046","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"666","4170053","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","666","4170183","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"667","4170187","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","667","4171169","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"668","4171170","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","=","","668","4171469","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","=",,"669","4171470","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","669","4171663","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"670","4171663","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","670","4172045","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","671","4172045","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"671","4172045","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","f","","671","4179446","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","f",,"672","4179447","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","672","4179469","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","672","4179557","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","672","4179558","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"673","4179564","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","673","4179628","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"674","4179645","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","674","4179888","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"675","4179889","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","675","4179979","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"676","4179979","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","676","4180188","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"677","4180189","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","677","4180563","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"678","4180563","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4181391","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","e","677","4181393","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4181584","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","676","4181585","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4181743","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","u","675","4181744","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4181898","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","674","4181900","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4182058","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","673","4182060","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","673","4182719","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"674","4182720","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","674","4182743","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","674","4182862","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","674","4182863","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"675","4182864","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","675","4183002","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"676","4183008","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","676","4183083","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"677","4183089","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","V","","677","4187665","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","V",,"678","4187669","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","678","4187868","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"679","4187870","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","679","4188005","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"680","4188008","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","680","4188172","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"681","4188176","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","681","4188305","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"682","4188306","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","V","","682","4189012","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","V",,"683","4189020","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4189495","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","V","682","4189496","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","C","","682","4189882","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","C",,"683","4189882","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","683","4189900","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","683","4190144","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","683","4190145","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"684","4190146","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","684","4190281","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"685","4190283","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","c","","685","4190666","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","c",,"686","4190677","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","686","4193404","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"687","4193404","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","*","","687","4194180","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","*",,"688","4194180","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","688","4194810","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"689","4194811","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","689","4195220","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"690","4195221","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","690","4195498","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"691","4195499","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","691","4195678","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"692","4195678","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"693","4201101","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","693","4202212","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"694","4202213","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","/","","694","4204011","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","/",,"695","4204011","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","695","4205017","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"696","4205018","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","1","","696","4205228","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","1",,"697","4205229","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","697","4205354","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"698","4205354","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","698","4205510","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"699","4205511","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","699","4206241","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"700","4206242","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","670","4210935","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"671","4210936","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","701","4212600","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"702","4212600","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4228576","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","",")","701","4228578","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","671","4242625","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"672","4242625","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","672","4242650","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","672","4242697","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","672","4242698","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"673","4242698","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","673","4242719","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","673","4242861","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","673","4242862","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"674","4242869","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4252332","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","755","4252334","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4252521","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","754","4252523","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4253069","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","i","753","4253074","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4257863","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," * 100) / 100)","765","4257865","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","766","4263761","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"767","4263761","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4265572","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","",")","766","4265574","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4267224","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","(","753","4267226","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","765","4271663","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"766","4271663","task1.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"4288118","task1.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","0",,"4296983","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","248","4430506","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"249","4430507","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","249","4430907","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"250","4430908","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","250","4431476","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"251","4431476","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","673","4431493","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","673","4431494","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," (e ","","248","4431493","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," (e","248","4431493","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","","254","4431494","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","673","4431493","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","673","4431494","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","251","4431736","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","x","","251","4431737","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","x",,"252","4431736","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",":","","253","4432839","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",":",,"253","4432840","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","253","4433017","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"254","4433018","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","6","","254","4435478","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","6",,"255","4435478","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","255","4435502","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","255","4435649","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","255","4435650","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"256","4435649","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","256","4435671","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","256","4435958","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","7","","256","4435959","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","7",,"257","4435958","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","5","","257","4436994","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","5",,"258","4436994","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","258","4438060","task1.py","1.1.2 for 2021-2022 @t1","0"
"k",")",,"259","4438060","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","T","","161","4441530","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","T",,"162","4441531","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","T","161","4441554","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","T ","","161","4441556","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","162","4441721","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","h","","162","4441722","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","h",,"163","4441722","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","163","4441799","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"164","4441799","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","164","4442364","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"165","4442365","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4443297","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","164","4443299","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4443475","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","e","163","4443487","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4443635","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","h","162","4443636","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"4444006","task1.py","1.1.2 for 2021-2022 @t1","0"
